127.0.0.1 - - [17/Jul/2018:13:17:16 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:17:18 +0530] "GET /demo/NewFile.html HTTP/1.1" 200 3129
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:17:18 +0530] "GET /demo/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:17:18 +0530] "GET /demo/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:17:18 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:17:19 +0530] "GET /demo/images/niit.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:17:21 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:17:21 +0530] "GET /demo/images/niit.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:18:07 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:18:07 +0530] "GET /demo/images/niit.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:21:58 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:21:58 +0530] "GET /demo/images/niit.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:32:23 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:32:23 +0530] "GET /demo/images/niit.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:32:54 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:32:54 +0530] "GET /demo/images/niit.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:33:32 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:33:32 +0530] "GET /demo/images/niit.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:34:06 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:34:06 +0530] "GET /demo/images/niit.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:36:31 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:13:36:31 +0530] "GET /demo/images/niit.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:00:14 +0530] "GET /demo/NewFile.html HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:00:14 +0530] "GET /demo/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:00:14 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:00:14 +0530] "GET /demo/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:00:14 +0530] "GET /demo/images/niit.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:00:19 +0530] "GET /demo/ HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:00:28 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:00:28 +0530] "GET /demo/images/niit.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:01:08 +0530] "GET /demo/NewFile.html HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:01:08 +0530] "GET /demo/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:01:08 +0530] "GET /demo/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:01:08 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:01:10 +0530] "GET /demo/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:01:10 +0530] "GET /demo/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:01:10 +0530] "GET /demo/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:01:10 +0530] "GET /demo/css/sample.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:03:13 +0530] "GET /demo/NewFile1.html HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:22:15 +0530] "GET /demo/NewFile1.html HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [17/Jul/2018:14:48:02 +0530] "GET /demo/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:15:27:07 +0530] "GET /demo/NewFile1.html HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [17/Jul/2018:15:29:19 +0530] "GET /demo/NewFile1.html HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [17/Jul/2018:15:30:06 +0530] "GET /demo/NewFile1.html HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [17/Jul/2018:15:30:08 +0530] "GET /demo/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:15:30:16 +0530] "GET /demo/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:15:30:31 +0530] "GET /demo/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:15:31:16 +0530] "GET /demo/NewFile1.html HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [17/Jul/2018:15:31:20 +0530] "GET /demo/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:15:32:31 +0530] "GET /demo/NewFile1.html HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [17/Jul/2018:16:21:44 +0530] "GET /demo/Newslider.html HTTP/1.1" 200 2308
0:0:0:0:0:0:0:1 - - [17/Jul/2018:16:21:44 +0530] "GET /demo/img_snowtops.jpg HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [17/Jul/2018:16:21:44 +0530] "GET /demo/img_lights.jpg HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [17/Jul/2018:16:21:44 +0530] "GET /demo/img_forest.jpg HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [17/Jul/2018:16:21:44 +0530] "GET /demo/img_mountains.jpg HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [17/Jul/2018:16:23:50 +0530] "GET /demo/img_snowtops.jpg HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [17/Jul/2018:16:23:50 +0530] "GET /demo/img_forest.jpg HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [17/Jul/2018:16:23:50 +0530] "GET /demo/img_lights.jpg HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [17/Jul/2018:16:23:50 +0530] "GET /demo/img_mountains.jpg HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [17/Jul/2018:16:27:24 +0530] "GET /demo/img_snowtops.jpg HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [17/Jul/2018:16:27:24 +0530] "GET /demo/img_forest.jpg HTTP/1.1" 404 1097
