127.0.0.1 - - [21/Aug/2018:12:38:16 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:38:29 +0530] "GET /FrontEnd/ HTTP/1.1" 200 3111
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:38:29 +0530] "GET /FrontEnd/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:38:29 +0530] "GET /FrontEnd/resources/css/sample.css HTTP/1.1" 200 3813
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:38:29 +0530] "GET /FrontEnd/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:38:30 +0530] "GET /FrontEnd/resources/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:38:30 +0530] "GET /FrontEnd/resources/images/interior1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:38:30 +0530] "GET /FrontEnd/resources/images/demo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:38:30 +0530] "GET /FrontEnd/resources/images/shopdemo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:39:57 +0530] "GET /FrontEnd/ HTTP/1.1" 200 3111
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:39:58 +0530] "GET /FrontEnd/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:39:58 +0530] "GET /FrontEnd/resources/css/sample.css HTTP/1.1" 200 3813
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:39:58 +0530] "GET /FrontEnd/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:39:58 +0530] "GET /FrontEnd/resources/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:39:58 +0530] "GET /FrontEnd/resources/images/interior1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:39:58 +0530] "GET /FrontEnd/resources/images/demo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:39:59 +0530] "GET /FrontEnd/resources/images/shopdemo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:40:01 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:40:11 +0530] "GET /FrontEnd/homepage HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:40:12 +0530] "GET /FrontEnd/aboutus HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:40:42 +0530] "GET /FrontEnd/ HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [21/Aug/2018:13:49:43 +0530] "GET /FrontEnd/ HTTP/1.1" 200 3104
